,Image,Accuracy,F1,Jaccard,Recall,Precision
358,pexels-photo-668927_0,0.957695007324219,0.977125153667813,0.955273420958173,0.996038737946956,0.958916476727569
359,pexels-photo-669276_0,0.998001098632812,0.95623851678637,0.916146583453352,0.950365205843294,0.96218487394958
360,pexels-photo-669277_0,0.990371704101562,0.975511312919626,0.952193347980908,0.984895088454832,0.966304661220567
361,pexels-photo-671613_0,0.986366271972656,0.987890574706412,0.976070916857483,0.982206501600135,0.99364081871903
362,pexels-photo-671804_0,0.990959167480469,0.987292088923205,0.974903106931825,0.994845527928162,0.979852485711549
363,pexels-photo-673058_0,0.921428680419922,0.5002305097906,0.333538262417085,0.656602331358685,0.40401348279376
364,pexels-photo-675927_0,0.979053497314453,0.966237694989455,0.934680719451846,0.94164809088948,0.992145968811162
365,pexels-photo-679350_0,0.995227813720703,0.978307236123394,0.957535641547861,0.996080508474576,0.961157109271185
366,pexels-photo-682013_0,0.972709655761719,0.982417593220672,0.965442785444814,0.967789576645022,0.997494597413746
367,pexels-photo-682020_0,0.891609191894531,0.870583091175747,0.770825267776487,0.982119001130408,0.781797061614476
368,pexels-photo-68441_0,0.870155334472656,0.811208359679191,0.682380605789149,0.767313019390582,0.860430638898694
369,pexels-photo-688675_0,0.986743927001953,0.985361086186342,0.97114458431594,0.979259817466298,0.991538859356852
370,pexels-photo-690729_0,0.977561950683594,0.943182257254356,0.892473904539056,0.914816272228156,0.973363638176127
371,pexels-photo-690737_0,0.995841979980469,0.310998735777497,0.184131736526946,0.184684684684685,0.984
372,pexels-photo-690903_0,0.996906280517578,0.997229822278241,0.994474949927105,0.996858674497217,0.997601246531717
373,pexels-photo-691034_0,0.998996734619141,0.864363073749355,0.761126248864669,0.865702479338843,0.86302780638517
374,pexels-photo-691232_SHDJullPaf_0,0.993515014648438,0.989792242103999,0.979790775083214,0.9892220168511,0.990363125135181
375,pexels-photo-691399_0,0.966323852539062,0.894257719857221,0.808739736118032,0.957939848080476,0.838514758075385
376,pexels-photo-691861_0,0.989601135253906,0.981822304019631,0.964293666906805,0.978130605194978,0.985541975126842
377,pexels-photo-694742_0,0.984893798828125,0.970068932156246,0.941877531849938,0.994544665550803,0.946768958394807
378,pexels-photo-69494_0,0.994880676269531,0.994260591390032,0.988586688438707,0.998188079106233,0.990363888865222
379,pexels-photo-698848_0,0.995452880859375,0.968649729104203,0.939205385831591,0.967275974367055,0.970027391487568
380,pexels-photo-700535_0,0.988918304443359,0.987089520067908,0.974508152126222,0.992572664545422,0.981666622468553
381,pexels-photo-700700_0,0.977996826171875,0.962293260116363,0.927326790056571,0.994352801307772,0.932236450456612
382,pexels-photo-700701_0,0.992774963378906,0.986077419544539,0.972537192239654,0.997560830507466,0.974855382110985
383,pexels-photo-700703_uH8OCGIi1J_0,0.986591339111328,0.98995384197665,0.98010752688172,0.992435746826738,0.987484319762801
384,pexels-photo-701747_0,0.970027923583984,0.926616044159265,0.863266158504751,0.8682676655406,0.993371515539891
385,pexels-photo-703836_0,0.995121002197266,0.995347314429146,0.990737723319357,0.996460151208356,0.994236960487206
386,pexels-photo-704955_0,0.970088958740234,0.980164080821062,0.961099783198639,0.98408505580136,0.976274227198968
387,pexels-photo-705121_0,0.991550445556641,0.954111334396818,0.912249425560574,0.943342892257271,0.965128463053774
388,pexels-photo-709575_0,0.997539520263672,0.994664703498135,0.989386035643173,0.992030623525335,0.997312808944033
389,pexels-photo-709807_0,0.997268676757812,0.995662341124156,0.991362150293759,0.994746335145081,0.996580035654948
390,pexels-photo-712940_0,0.874835968017578,0.65820094796604,0.490536155148052,0.963435088896344,0.499841782165686
391,pexels-photo-713133_0,0.720001220703125,0.756587717960112,0.608476954014711,0.645746180364896,0.913365841160033
392,pexels-photo-713955_0,0.996997833251953,0.989422185185683,0.979065808373677,0.983276787860978,0.99564488206016
393,pexels-photo-714025_0,0.995182037353516,0.93801226993865,0.883260929845642,0.954454654414702,0.922126797259481
394,pexels-photo-714031_0,0.993022918701172,0.938373934431753,0.883902500952139,0.914974702674289,0.963001383125864
395,pexels-photo-714037_0,0.995349884033203,0.871182500264187,0.771765586968732,0.872011846837318,0.87035472972973
396,pexels-photo-714063_0,0.996189117431641,0.987419878858093,0.975152344235791,0.98073844306584,0.994192975782934
397,pexels-photo-714155_0,0.974929809570312,0.981559837933085,0.963787441317141,0.964648525826982,0.999074676993728
398,pexels-photo-716543_0,0.988712310791016,0.973444973929587,0.948263803895514,0.955615463227261,0.991952446273434
399,pexels-photo-716966_0,0.979232788085938,0.965947758206565,0.93413825643011,0.936756159996118,0.997017238039899
400,pexels-photo-720276_0,0.978347778320312,0.984149855907781,0.968794326241135,0.972006023531488,0.996600967112519
401,pexels-photo-722231_0,0.992038726806641,0.989654539956675,0.979520945156954,0.993154909959208,0.986178757372482
